Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date,View Auction Link,event_bank,property_category,property_sub_category,property_description,country,state,district,reserve_price_detailed,area,emd_amount,extraction_success_count,master_generation_timestamp
82740,Land and Building in Malda,"Maldah, West Bengal",UCO Bank,"₹5,39,000",29/12/2025,https://albionbankauctions.com/web/view-auctions/3a4a9c2b-f2fb-47e6-b925-2e301d625baa,UCO Bank,Immovable,Land Agri Commercial Residential Industrial Farm,All that piece of land measuring 2.00 decimal along with one brick wall structure measuring total pl...Read More,India,West Bengal,Maldah,"5,39,000","2.00
                                            Cents","53,900",10,20250830_044133
84003,Land in South 24 Paraganas,"South 24 Parganas, West Bengal",Kotak Mahindra Bank,"₹42,00,000",29/10/2025,https://albionbankauctions.com/web/view-auctions/d45045d2-6e9f-4434-8e01-11e85a857add,Kotak Mahindra Bank,Immovable,Land Agri Commercial Residential Industrial Farm,All that piece and parcel of land measuring about 04 satak together with structure measuring about 3...Read More,India,West Bengal,South 24 Parganas,"42,00,000","3874
                                            sq.ft","4,20,000",10,20250830_044133
81915,Residential Flat in Kasba,"Kasba, Kolkata, West Bengal",Indian Bank,"₹25,74,000",28/10/2025,https://albionbankauctions.com/web/view-auctions/0769a6d7-87c7-4ae0-bddb-52e495b36950,Indian Bank,Immovable,House Villa Bunglow Apartment Flat,"Equitable mortgage of residential flat No. 302, (3rd floor) of SBA 1336 sq.ft more or less in G+3 St...Read More",India,West Bengal,Kolkata,"25,74,000","1336
                                            sq.ft","2,57,400",10,20250830_044133
80924,Land in Bijpur,"Bijpur, Kolkata, West Bengal",Canara Bank,"₹6,00,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/fe05d0cb-ea13-488f-a235-3923bd948d17,Canara Bank,Immovable,Land Agri Commercial Residential Industrial Farm,property: UREM of All that piece and parcel of land measuring l Cottah l Chittacks 14 Sq. Ft. Lying...Read More,India,West Bengal,Kolkata,"6,00,000",,"60,000",9,20250830_044133
82573,Land and Building in North 24 Parganas,"North 24 Parganas, West Bengal",Canara Bank,"₹13,50,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/52a6fd8b-a670-4420-b9a9-dc6cb5bb59d7,Canara Bank,Immovable,Land Agri Commercial Residential Industrial Farm,All that piece and parcel of land measuring 7 Chattacks 33 Sq Ft. More or less together with buildin...Read More,India,West Bengal,North 24 Parganas,"13,50,000",,"1,35,000",9,20250830_044133
82579,Land in Alipur,"Alipur, Kolkata, West Bengal",Canara Bank,"₹22,00,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/b31434df-1f2f-4000-995a-06f8827aac97,,,,,,,,,,,0,20250830_044133
82581,Flat in North 24 Parganas,"North 24 Parganas, West Bengal",Canara Bank,"₹24,00,000",16/10/2025,https://albionbankauctions.com/web/view-auctions/b15b2c4b-d035-4636-80e6-947a7e166eef,Canara Bank,Immovable,House Villa Bunglow Apartment Flat,All that piece and parcel of office room on the Ground Floor measuring a super bullt up area of abou...Read More,India,West Bengal,North 24 Parganas,"24,00,000","324
                                            sq.ft","2,40,000",10,20250830_044133
82763,"Plot in GHACHIPURA, MAKRAN","Nagaur, Rajasthan",Au small finance bank,"₹30,75,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/df3e7bb5-5b95-4a9b-b7ca-acce2de43c20,,,,,,,,,,,0,20250830_044133
82697,"Plot in Khera, Kapasan","Chittorgarh, Rajasthan",Au small finance bank,"₹9,50,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/6b49eab6-89d2-4207-9e43-383bbc952457,,,,,,,,,,,0,20250830_044133
82855,"Plot in Lunawa, Bali","Pali, Rajasthan",Au small finance bank,"₹6,00,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/78f0ab9e-d0b3-429d-a76f-bdf1737890a3,,,,,,,,,,,0,20250830_044133
81913,Land in South 24 Paraganas,"South 24 Parganas, West Bengal",Indian Bank,"₹85,55,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/8cc3afe9-2eee-46d8-a0a6-bc1b0412c9db,Indian Bank,Immovable,Land Agri Commercial Residential Industrial Farm,All that piece and parcel of land msg about 4 Cottahs 6 Chittaks out of 75 decimals of land be the s...Read More,India,West Bengal,South 24 Parganas,"85,55,000",,"8,55,500",9,20250830_044133
83824,"Flat in Navagam, Surat","Surat, Gujarat",Repco Home Finance,"₹10,77,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/1de8489c-947b-4f0e-9142-6e76086d603b,Repco Home Finance,Immovable,House Villa Bunglow Apartment Flat,"All that right, title and interest on Flat No.102 admeasuring about 44.17 sq.mtrs. built-up on highe...Read More",India,Gujarat,Surat,"10,77,000","44.17
                                            Sq M","1,07,700",10,20250830_044133
83821,"Flat in Bhestan, Surat","Surat, Gujarat",Repco Home Finance,"₹6,51,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/175444b8-2983-4764-baea-622ea40fee65,Repco Home Finance,Immovable,House Villa Bunglow Apartment Flat,"All right, title and interest in Flat No.205, super built-up area admeasuring 600 sq.ft., carpet are...Read More",India,Gujarat,Surat,"6,51,000","600
                                            sq.ft","65,100",10,20250830_044133
83820,"Plot in Jolwa, Surat","Surat, Gujarat",Repco Home Finance,"₹8,50,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/1ab4ecf2-fe46-4e35-b5c6-d5dc147f4053,Repco Home Finance,Immovable,Land Agri Commercial Residential Industrial Farm,"All the piece and parcel of the land bearing Plot No.187 admeasuring about 46.66 sq.yards, ie, 39.01...Read More",India,Gujarat,Surat,"8,50,000","46.66
                                            Square Yard","85,000",10,20250830_044133
83822,"Flat in Umra, Surat","Surat, Gujarat",Repco Home Finance,"₹14,80,000",14/10/2025,https://albionbankauctions.com/web/view-auctions/2183494f-21af-4b70-8ffb-fc382508373c,Repco Home Finance,Immovable,House Villa Bunglow Apartment Flat,"All that piece and parcel of land bearing Plot No.234 admeasuring about 40.15 sq.mtrs., ie, 48 sq.ya...Read More",India,Gujarat,Surat,"14,80,000","40.15
                                            Sq M","1,48,000",10,20250830_044133
82574,Flat in Barasat,"Barasat, Kolkata, West Bengal",Indian Bank,"₹26,52,850",12/10/2025,https://albionbankauctions.com/web/view-auctions/cd3a7739-6de4-49d1-99b8-0e9d2ed874a1,Indian Bank,Immovable,House Villa Bunglow Apartment Flat,"All that piece and parcel of flat no. C-2 at 3rd floor on Kaikash Apartment at holding no. 132, Laxm...Read More",India,West Bengal,Kolkata,"26,52,850",,"2,65,285",9,20250830_044133
75858,Land and Building in Murshidabad,"Murshidabad, West Bengal",Canara Bank,"₹35,14,000",12/10/2025,https://albionbankauctions.com/web/view-auctions/28b039ff-3ea1-4bbb-ab5a-9bfe9a7a135a,Canara Bank,Immovable,Land Agri Commercial Residential Industrial Farm,"All that part and parcel of the Land and Building Situated at Mouza- Hapania, J L No- 053, Plot No-...Read More",India,West Bengal,Murshidabad,"35,14,000","4
                                            Cents","3,51,400",10,20250830_044133
75879,Land and Building in Birbhum,"Birbhum, West Bengal",Canara Bank,"₹21,40,000",12/10/2025,https://albionbankauctions.com/web/view-auctions/19be3262-0ce9-4a4c-8fd1-40b4318c2771,Canara Bank,Immovable,Land Agri Commercial Residential Industrial Farm,"All that part and parcel of the property of land and Residential Buidling at Mouza Madhabpur, J L No...Read More",India,West Bengal,Birbhum,"21,40,000","26
                                            Cents","2,14,000",10,20250830_044133
75884,Land and Building in Birbhum,"Birbhum, West Bengal",Canara Bank,"₹11,69,900",12/10/2025,https://albionbankauctions.com/web/view-auctions/377d387d-61c7-4688-b20b-75a10fa64c8e,Canara Bank,Immovable,Land Agri Commercial Residential Industrial Farm,"All that part and parcel of the property of land & Building situated at Mouza- Ramkrishnapur, J.L. N...Read More",India,West Bengal,Birbhum,"11,69,900","12
                                            Cents","1,16,990",10,20250830_044133
75888,Land and Building in Murshidabad,"Murshidabad, West Bengal",Canara Bank,"₹44,98,000",12/10/2025,https://albionbankauctions.com/web/view-auctions/483fdd88-f1c8-415c-8251-7a2dc595e459,Canara Bank,Immovable,Land Agri Commercial Residential Industrial Farm,All that part and parcel of the pARJv3uodQjroperty of land and single storied building at mouza – DO...Read More,India,West Bengal,Murshidabad,"44,98,000","2.996
                                            Cents","4,49,800",10,20250830_044133
75890,Flat in Malda,"Maldah, West Bengal",Canara Bank,"₹23,00,000",12/10/2025,https://albionbankauctions.com/web/view-auctions/5976067f-b8e0-4468-8890-8cdca047b257,Canara Bank,Immovable,House Villa Bunglow Apartment Flat,"All that Piece & parcel of Flat No- 1A, (827 Sq Ft ) on first floor together with undivided proporti...Read More",India,West Bengal,Maldah,"23,00,000","827
                                            sq.ft","2,30,000",10,20250830_044133
75891,House in Murshidabad,"Murshidabad, West Bengal",Canara Bank,"₹21,75,000",12/10/2025,https://albionbankauctions.com/web/view-auctions/03391843-45f5-4f6f-b5dd-5746f2b7b67e,Canara Bank,Immovable,House Villa Bunglow Apartment Flat,"All that piece and parcel of the property of Residentdb1gKiPgonial House situated at Mouza- Bhabta,...Read More",India,West Bengal,Murshidabad,"21,75,000","1960
                                            sq.ft","2,17,500",10,20250830_044133
